epsilon,sequence_index,method,full_trajectory_rmse_rad_s,ode_residual_N_m
0.02,20,calibrated_physics,0.0003971431827343865,12.626034291429582
0.02,21,rk4_oracle,0.0,13.010152942011496
0.02,21,nominal_physics,199.55944130751251,0.2967560435378319
0.02,21,calibrated_physics,0.0003572346199942667,13.010172129029511
0.02,22,rk4_oracle,0.0,12.533240369351823
0.02,22,nominal_physics,214.47071384281682,0.3122806100474142
0.02,22,calibrated_physics,0.00032325398511747226,12.533257173456219
0.02,23,rk4_oracle,0.0,11.730493893465594
0.02,23,nominal_physics,222.41283707226273,0.7114555684366111
0.02,23,calibrated_physics,0.0003003948108647542,11.730508772279213
0.02,24,rk4_oracle,0.0,11.997957983574365
0.02,24,nominal_physics,221.81534192273287,0.6875421132297268
0.02,24,calibrated_physics,0.0002981167501184606,11.997973051912423
0.02,25,rk4_oracle,0.0,13.071984142339398
0.02,25,nominal_physics,254.67664584449463,1.353577603308952
0.02,25,calibrated_physics,0.0003062441154846736,13.071999843660038
0.02,26,rk4_oracle,0.0,13.065619231934413
0.02,26,nominal_physics,206.54212005915215,0.6938134063295033
0.02,26,calibrated_physics,0.0004993559817100088,13.065643948566432
0.02,27,rk4_oracle,0.0,12.147375916871265
0.02,27,nominal_physics,191.88453204545138,1.0825847129836512
0.02,27,calibrated_physics,0.0005785939354197927,12.14740278957623
0.02,28,rk4_oracle,0.0,13.094606241527995
0.02,28,nominal_physics,221.69563363524392,0.5047469534502396
0.02,28,calibrated_physics,0.0003106081507300767,13.094622907700831
0.02,29,rk4_oracle,0.0,10.776586549593077
0.02,29,nominal_physics,208.82774943006444,0.20786112444580404
0.02,29,calibrated_physics,0.00036037436646432113,10.776602947929346
0.05,0,rk4_oracle,0.0,15.260815215088334
0.05,0,nominal_physics,242.82413596845933,1.2113875590205796
0.05,0,calibrated_physics,0.0022184626334730466,15.260919340355942
0.05,1,rk4_oracle,0.0,16.278562263546092
0.05,1,nominal_physics,241.38388297981598,1.4164983803587978
0.05,1,calibrated_physics,0.002179781284428688,16.278670529633946
0.05,2,rk4_oracle,0.0,16.363909331468875
0.05,2,nominal_physics,249.91801545009776,0.31035667626729524
0.05,2,calibrated_physics,0.001396897382051764,16.36398516769994
0.05,3,rk4_oracle,0.0,12.801715987471166
0.05,3,nominal_physics,205.75493864991796,0.7857339454529157
0.05,3,calibrated_physics,0.0013883534024298253,12.801782605661918
0.05,4,rk4_oracle,0.0,14.460717884114343
0.05,4,nominal_physics,227.5726133508657,0.25636018808383104
0.05,4,calibrated_physics,0.00091018929964948,14.46076875723775
0.05,5,rk4_oracle,0.0,12.765921899574089
0.05,5,nominal_physics,240.29633400584203,0.19849718556911644
0.05,5,calibrated_physics,0.0012290119157859231,12.765979137118093
0.05,6,rk4_oracle,0.0,15.005277196154145
0.05,6,nominal_physics,246.8624079673337,0.26997401304666735
0.05,6,calibrated_physics,0.0011165226592990594,15.005336918760557
0.05,7,rk4_oracle,0.0,14.089182028995989
0.05,7,nominal_physics,244.32744665089552,0.8193145386797358
0.05,7,calibrated_physics,0.000871159997801169,14.089229031918933
0.05,8,rk4_oracle,0.0,12.334575065169862
0.05,8,nominal_physics,214.29926207792485,0.4755950192453394
0.05,8,calibrated_physics,0.0007677056923985145,12.334615207770883
0.05,9,rk4_oracle,0.0,13.89082582895771
0.05,9,nominal_physics,248.46373491904063,0.9000289928259511
0.05,9,calibrated_physics,0.0008883129684832227,13.890872754730184
0.05,10,rk4_oracle,0.0,12.071047140137773
0.05,10,nominal_physics,212.2393181475391,0.16671471781309405
0.05,10,calibrated_physics,0.0009078109061065762,12.071092278580439
0.05,11,rk4_oracle,0.0,14.050374996868095
0.05,11,nominal_physics,233.50523388003182,0.593799409806327
0.05,11,calibrated_physics,0.0008505063009350021,14.050421750731463
