epsilon,method,horizon_steps,horizon_seconds,trajectory_rmse_rad_s,trajectory_rmse_ci95_low_rad_s,trajectory_rmse_ci95_high_rad_s
0.2,jepa_residual_seed31,100,1.0,0.3657712813859294,0.3605662894981972,0.3713690765847545
0.2,jepa_residual_seed31,200,2.0,0.36229708504086455,0.35620649518497727,0.3690231608395147
0.5,nominal_physics,10,0.1,3.176950648655432,2.5008029022794256,3.810838580547847
0.5,nominal_physics,50,0.5,7.409174086843462,5.826819039099279,8.869250889601473
0.5,nominal_physics,100,1.0,7.142000752079789,5.603176900186323,8.586974492707967
0.5,nominal_physics,200,2.0,5.362023834126222,4.196309138683823,6.46933900422157
0.5,calibrated_physics,10,0.1,0.020703283959748207,0.01946342442738211,0.021889147778950017
0.5,calibrated_physics,50,0.5,0.2565841561974159,0.24452308914821552,0.26796770119490704
0.5,calibrated_physics,100,1.0,0.6486781780436388,0.6199165100103124,0.6763028588696326
0.5,calibrated_physics,200,2.0,1.1602638191866548,1.100080249867211,1.218678870506523
0.5,gru_residual_seed7,10,0.1,0.07028398193768508,0.056487978123859924,0.0828394407360872
0.5,gru_residual_seed7,50,0.5,0.06991133504644566,0.05996506070914609,0.0795321838607767
0.5,gru_residual_seed7,100,1.0,0.09440519341800173,0.08243275229278478,0.10589819355497211
0.5,gru_residual_seed7,200,2.0,0.12091241909239056,0.10134217449842936,0.13985760255353807
0.5,gru_residual_seed19,10,0.1,0.0930472175382263,0.07555660759545098,0.10929118324611495
0.5,gru_residual_seed19,50,0.5,0.07644820229489732,0.06529072968635677,0.08741720477487633
0.5,gru_residual_seed19,100,1.0,0.09816169256288247,0.08555741984375881,0.11022523537141451
0.5,gru_residual_seed19,200,2.0,0.12570476712296005,0.10567484518366446,0.14500875611001882
0.5,gru_residual_seed31,10,0.1,0.07193544016994724,0.05795987870158055,0.08448136122800612
0.5,gru_residual_seed31,50,0.5,0.0785845623431005,0.0671586240773846,0.08971055782655274
0.5,gru_residual_seed31,100,1.0,0.09581321840847916,0.08376539775407421,0.10729284059374568
0.5,gru_residual_seed31,200,2.0,0.12765318062787656,0.10716963545138958,0.14756352395483335
0.5,jepa_residual_seed7,10,0.1,0.25728536535460783,0.2346775749758433,0.2809439161140359
0.5,jepa_residual_seed7,50,0.5,0.35795190686743156,0.3482132745004776,0.3684610543806112
0.5,jepa_residual_seed7,100,1.0,0.3462450760661286,0.33742115829402153,0.35592331118864867
