epsilon,sequence_index,method,horizon_steps,horizon_error_rad_s
0.02,2,calibrated_physics,100,0.00011492368128074304
0.02,2,calibrated_physics,200,0.0008771063722861072
0.02,3,rk4_oracle,10,0.0
0.02,3,rk4_oracle,50,0.0
0.02,3,rk4_oracle,100,0.0
0.02,3,rk4_oracle,200,0.0
0.02,3,nominal_physics,10,73.90606271581748
0.02,3,nominal_physics,50,223.1818875547986
0.02,3,nominal_physics,100,259.16306475784086
0.02,3,nominal_physics,200,219.5755786095905
0.02,3,calibrated_physics,10,4.78519268654054e-09
0.02,3,calibrated_physics,50,1.647545786909177e-05
0.02,3,calibrated_physics,100,0.00017293151427111297
0.02,3,calibrated_physics,200,0.0012681484159031697
0.02,4,rk4_oracle,10,0.0
0.02,4,rk4_oracle,50,0.0
0.02,4,rk4_oracle,100,0.0
0.02,4,rk4_oracle,200,0.0
0.02,4,nominal_physics,10,66.6161827272756
0.02,4,nominal_physics,50,201.31745175402116
0.02,4,nominal_physics,100,234.04124601120475
0.02,4,nominal_physics,200,198.83083586843745
0.02,4,calibrated_physics,10,3.9321434996963944e-09
0.02,4,calibrated_physics,50,1.370228181940547e-05
0.02,4,calibrated_physics,100,0.00014404850281835024
0.02,4,calibrated_physics,200,0.0010594707970312811
0.02,5,rk4_oracle,10,0.0
0.02,5,rk4_oracle,50,0.0
0.02,5,rk4_oracle,100,0.0
0.02,5,rk4_oracle,200,0.0
0.02,5,nominal_physics,10,67.23866784463212
0.02,5,nominal_physics,50,205.0796122796147
0.02,5,nominal_physics,100,241.83730448299409
0.02,5,nominal_physics,200,212.59065759123283
0.02,5,calibrated_physics,10,2.119350028806366e-09
0.02,5,calibrated_physics,50,8.740122723338573e-06
0.02,5,calibrated_physics,100,9.36075977051587e-05
0.02,5,calibrated_physics,200,0.0007132269826684023
0.02,6,rk4_oracle,10,0.0
0.02,6,rk4_oracle,50,0.0
0.02,6,rk4_oracle,100,0.0
0.02,6,rk4_oracle,200,0.0
0.02,6,nominal_physics,10,67.35919442578796
0.02,6,nominal_physics,50,203.4836154469095
0.02,6,nominal_physics,100,236.41538664317238
0.02,6,nominal_physics,200,200.5465897954778
0.02,6,calibrated_physics,10,4.451067070476711e-09
0.02,6,calibrated_physics,50,1.5431560029810498e-05
0.02,6,calibrated_physics,100,0.00016211765120033306
0.02,6,calibrated_physics,200,0.0011908371844242538
0.02,7,rk4_oracle,10,0.0
0.02,7,rk4_oracle,50,0.0
0.02,7,rk4_oracle,100,0.0
0.02,7,rk4_oracle,200,0.0
0.02,7,nominal_physics,10,67.786106872223
0.02,7,nominal_physics,50,205.36757877810206
0.02,7,nominal_physics,100,239.6770651065376
0.02,7,nominal_physics,200,205.5180304770292
0.02,7,calibrated_physics,10,3.50200934917666e-09
0.02,7,calibrated_physics,50,1.2755592024404905e-05
0.02,7,calibrated_physics,100,0.00013477893060098722
0.02,7,calibrated_physics,200,0.00100087617872191
0.02,8,rk4_oracle,10,0.0
0.02,8,rk4_oracle,50,0.0
0.02,8,rk4_oracle,100,0.0
0.02,8,rk4_oracle,200,0.0
0.02,8,nominal_physics,10,74.65373160228916
0.02,8,nominal_physics,50,227.4642734381745
0.02,8,nominal_physics,100,267.81016421131767
0.02,8,nominal_physics,200,234.52363026631235
0.02,8,calibrated_physics,10,3.1321860660682432e-09
0.02,8,calibrated_physics,50,1.2669995271608059e-05
0.02,8,calibrated_physics,100,0.0001354342913941764
0.02,8,calibrated_physics,200,0.0010281182520088805
0.02,9,rk4_oracle,10,0.0
0.02,9,rk4_oracle,50,0.0
0.02,9,rk4_oracle,100,0.0
0.02,9,rk4_oracle,200,0.0
0.02,9,nominal_physics,10,74.34226751878265
0.02,9,nominal_physics,50,226.40079515793508
0.02,9,nominal_physics,100,266.3517762958969
0.02,9,nominal_physics,200,232.82424091457537
0.02,9,calibrated_physics,10,2.8537670004880056e-09
0.02,9,calibrated_physics,50,1.1413743948196498e-05
0.02,9,calibrated_physics,100,0.00012186519319357103
0.02,9,calibrated_physics,200,0.0009230839407337044
0.02,10,rk4_oracle,10,0.0
0.02,10,rk4_oracle,50,0.0
0.02,10,rk4_oracle,100,0.0
0.02,10,rk4_oracle,200,0.0
0.02,10,nominal_physics,10,70.05401672129074
0.02,10,nominal_physics,50,213.67261452273164
0.02,10,nominal_physics,100,251.98186414455722
0.02,10,nominal_physics,200,221.53327827051473
0.02,10,calibrated_physics,10,2.267086074425606e-09
